,average_order_value,best_day,best_hour,between_7_to_8_gmt,email_last_send_date,first_seen_date,frequency_score,highest_order_value,last_payment_method,last_purchase_date,last_purchase_value,last_seen_date,lifecycle_id,lowest_order_value,monetary_score,orders_with_promo_count,orders_with_promo_percent,orders_without_promo_count,orders_without_promo_percent,pin_code,purchased,push_last_send_date,recency_score,rfm_total_score,segmentation_last_process_date,session_on_sunday,time_to_first_purchase,total_event_done,total_frequency_monetary,total_revenue,user_id,user_tag
0,175924.33333333,wednesday,5.0,1.0,2017-02-23T03:20:52,2017-01-12T15:36:41,1.0,349800.0,payment_method_atm_transfer,2017-02-03T09:02:08,349800.0,2017-02-16T12:33:12,19509.0,75000.0,9.0,0.0,0.0,3.0,100.0,3399008,3.0,1970-01-01T00:00:00,9.0,19.0,1970-01-01T00:00:00,1.0,0.0,10.0,10.0,527773.0,5877a28a8d8fb54760d02598,customer
1,68000.0,saturday,1.0,1.0,2017-02-23T03:20:49,2014-02-20T18:26:02,0.0,68000.0,mandiri clickpay,2016-08-13T00:39:20,68000.0,2017-02-13T18:54:48,19502.0,68000.0,9.0,0.0,0.0,1.0,100.0,798718,1.0,1970-01-01T00:00:00,6.0,15.0,1970-01-01T00:00:00,4.0,904.0,30.0,9.0,68000.0,5776af877b685136788b7152,customer
2,95000.0,wednesday,7.0,3.0,2017-02-14T13:00:24,2016-08-24T02:41:18,1.0,120000.0,briva,2016-10-02T11:47:47,120000.0,2017-01-12T12:05:49,19505.0,70000.0,9.0,0.0,0.0,3.0,100.0,11432759,3.0,1970-01-01T00:00:00,8.0,18.0,2016-11-14T22:01:48,1.0,0.0,29.0,10.0,285000.0,57bd094e8dbb1b1c038b456d,customer
3,102250.0,saturday,15.0,4.0,2017-02-16T04:55:52,2016-09-02T09:50:07,0.0,176000.0,indomaret,2016-10-28T12:48:35,28500.0,2017-01-25T14:27:09,19504.0,28500.0,9.0,0.0,0.0,2.0,100.0,7572032,2.0,1970-01-01T00:00:00,9.0,18.0,2016-11-16T01:27:27,17.0,40.0,391.0,9.0,204500.0,57c94b4f8dbb1b90c68b456c,customer
4,97500.0,friday,12.0,3.0,2017-02-23T03:22:13,2016-02-12T18:32:20,0.0,100000.0,transfer bank,2016-11-29T11:53:38,95000.0,2017-02-16T07:05:46,19504.0,95000.0,9.0,0.0,0.0,2.0,100.0,6528224,2.0,1970-01-01T00:00:00,9.0,18.0,2016-11-20T13:29:34,16.0,286.0,594.0,9.0,195000.0,57ac5f2b8dbb1b002f8b4587,customer
5,388333.33333333,wednesday,17.0,2.0,2017-02-14T13:04:46,2016-08-25T18:31:28,1.0,665000.0,alfamart / alfamidi / lawson,2016-11-18T02:27:09,300000.0,2017-02-03T01:18:15,19504.0,200000.0,9.0,0.0,0.0,3.0,100.0,2660448,3.0,1970-01-01T00:00:00,9.0,19.0,2016-11-18T20:01:17,2.0,3.0,646.0,10.0,1165000.0,57bf39808dbb1b04d08b459d,customer
6,50000.0,sunday,11.0,2.0,2017-01-25T10:19:02,2016-09-17T15:18:28,1.0,50000.0,alfamart / alfamidi / lawson,2016-10-02T05:06:47,50000.0,2017-02-11T14:06:19,19508.0,50000.0,9.0,0.0,0.0,4.0,100.0,12128650,4.0,1970-01-01T00:00:00,8.0,18.0,2016-11-14T15:50:13,16.0,4.0,154.0,10.0,200000.0,57dd5ec48dbb1be9698b4594,customer
7,50000.0,friday,12.0,2.0,2017-02-14T13:05:10,2016-09-29T06:08:56,0.0,50000.0,transfer bank,2016-11-20T13:02:26,50000.0,2017-02-15T23:14:06,19501.0,50000.0,9.0,0.0,0.0,1.0,100.0,12225663,1.0,1970-01-01T00:00:00,9.0,18.0,2016-11-21T10:24:02,4.0,52.0,148.0,9.0,50000.0,57ecaff88dbb1b8fba8b456e,customer
8,85000.0,thursday,4.0,1.0,2017-02-23T03:20:54,2016-09-16T11:52:40,0.0,85000.0,indomaret,2016-09-29T12:00:51,85000.0,2017-02-14T02:13:23,19502.0,85000.0,9.0,0.0,0.0,1.0,100.0,12237023,1.0,1970-01-01T00:00:00,8.0,17.0,2016-11-14T19:01:21,5.0,13.0,73.0,9.0,85000.0,57dbdd088dbb1b7a518b459c,customer
9,46833.333333333,friday,5.0,1.0,2017-02-14T13:02:30,2016-10-29T22:16:30,1.0,79500.0,transfer bank,2016-12-23T10:34:03,41000.0,2017-02-15T06:33:07,19503.0,20000.0,9.0,0.0,0.0,3.0,100.0,13426793,3.0,1970-01-01T00:00:00,9.0,19.0,2016-11-21T07:16:45,1.0,26.0,47.0,10.0,140500.0,58151fbec0ef75157d3a6410,customer
10,14500.0,thursday,10.0,1.0,2017-02-20T08:09:29,2015-03-31T08:20:34,0.0,14500.0,transfer bank,2017-01-16T13:43:52,14500.0,2017-02-15T22:48:22,19500.0,14500.0,9.0,0.0,0.0,1.0,100.0,2979814,1.0,1970-01-01T00:00:00,9.0,18.0,2016-11-17T11:46:12,3.0,657.0,63.0,9.0,14500.0,5777bbd27b6851c5ab8b50e7,customer
11,606500.0,friday,9.0,1.0,2017-03-02T03:12:39,2016-11-11T03:09:16,0.0,1120000.0,payment_method_deposit,2017-02-14T16:16:59,93000.0,2017-02-14T16:17:05,19509.0,93000.0,9.0,0.0,0.0,2.0,100.0,13791373,2.0,1970-01-01T00:00:00,9.0,18.0,2017-02-05T04:06:02,1.0,82.0,16.0,9.0,1213000.0,5825365dc0ef75157dcc2532,customer
12,250700.0,monday,14.0,2.0,2017-03-02T03:12:48,2014-10-07T23:36:52,3.0,1080000.0,payment_method_instant,2017-02-15T18:07:35,114000.0,2017-02-25T06:02:36,19509.0,15000.0,9.0,0.0,0.0,12.0,100.0,1594664,12.0,1970-01-01T00:00:00,9.0,21.0,2016-11-14T16:01:10,1.0,707.0,71.0,12.0,2590699.0,577687d37b685144788b59d7,customer
13,132000.0,sunday,10.0,4.0,2017-03-02T03:12:38,2015-03-16T06:29:55,1.0,228000.0,payment_method_atm_transfer,2017-02-15T10:15:31,228000.0,2017-02-15T10:15:33,19509.0,100000.0,9.0,2.0,50.0,2.0,50.0,2814300,4.0,1970-01-01T00:00:00,9.0,19.0,2016-11-19T12:45:45,5.0,686.0,135.0,10.0,528000.0,5777bf2f7b6851f1ab8b71c2,customer
14,84433.333333333,monday,4.0,3.0,2017-03-02T03:15:34,2010-11-29T12:06:32,1.0,166000.0,payment_method_instant,2017-02-15T04:26:35,166000.0,2017-02-16T10:32:02,19509.0,27300.0,9.0,0.0,0.0,3.0,100.0,103760,3.0,1970-01-01T00:00:00,9.0,19.0,2016-11-18T07:56:52,3.0,2103.0,78.0,10.0,253300.0,5776637b7b685177608b49f0,customer
15,93797.6,monday,8.0,6.0,2017-03-02T03:17:02,2016-08-16T11:39:24,2.0,200000.0,payment_method_instant,2017-02-15T23:29:30,100000.0,2017-02-24T07:31:00,19509.0,39988.0,9.0,0.0,-20.0,6.0,120.0,5993556,5.0,1970-01-01T00:00:00,9.0,20.0,2017-02-14T08:18:05,4.0,15.0,138.0,11.0,468988.0,57b2fb6c8dbb1b34128b4584,customer
16,130000.0,wednesday,0.0,1.0,2017-03-02T04:24:24,2016-10-10T05:47:57,0.0,130000.0,kartu kredit / debit,2016-11-14T02:09:02,130000.0,2017-02-13T04:32:48,19502.0,130000.0,9.0,0.0,0.0,1.0,100.0,5315282,1.0,1970-01-01T00:00:00,9.0,18.0,2016-11-18T13:14:15,1.0,34.0,50.0,9.0,130000.0,5807ff094ad177cec476a0d9,customer
17,52780.0,friday,9.0,2.0,2017-03-02T03:17:03,2017-01-23T07:23:04,1.0,63000.0,transfer bank,2017-02-03T09:35:53,50000.0,2017-02-12T01:24:03,19509.0,39950.0,9.0,0.0,0.0,4.0,100.0,14594537,5.0,1970-01-01T00:00:00,9.0,19.0,2017-02-03T10:48:03,1.0,3.0,52.0,10.0,263900.0,5885af58c3ffe70eade17682,customer
18,187740.0,tuesday,5.0,2.0,2017-03-02T03:14:06,2016-10-25T05:09:01,2.0,304000.0,payment_method_atm_transfer,2017-02-21T10:56:41,115000.0,2017-02-22T01:08:02,19509.0,65000.0,9.0,0.0,-300.0,22.0,400.0,7048006,7.0,1970-01-01T00:00:00,9.0,20.0,2017-02-14T20:29:41,3.0,112.0,48.0,11.0,1187700.0,586e4e2bc3ffe70ead9691ea,customer
19,250000.0,wednesday,15.0,1.0,2017-03-02T04:23:46,2014-11-25T19:48:18,0.0,250000.0,kartu kredit / debit,2016-12-28T07:56:22,250000.0,2017-02-22T05:09:43,19500.0,250000.0,9.0,0.0,0.0,1.0,100.0,1855200,1.0,1970-01-01T00:00:00,9.0,18.0,1970-01-01T00:00:00,3.0,763.0,46.0,9.0,250000.0,577693bb7b685124788b9fe1,customer
20,283414.28571429,thursday,8.0,2.0,2017-03-02T03:18:32,2015-09-04T15:12:09,2.0,1325000.0,payment_method_deposit,2017-02-16T06:27:26,81500.0,2017-02-16T07:03:45,19509.0,15000.0,9.0,1.0,14.3,6.0,85.7,4923672,7.0,1970-01-01T00:00:00,9.0,20.0,2017-02-07T15:26:27,4.0,418.0,111.0,11.0,1983900.0,5777b99b7b6851cdab8b54b5,customer
21,224325.92,monday,0.0,3.0,2017-03-02T03:18:29,2016-08-12T03:57:47,9.0,406300.0,payment_method_instant,2017-02-27T00:09:35,194250.0,2017-02-27T00:09:43,19509.0,56500.0,9.0,0.0,0.0,25.0,100.0,5979826,25.0,1970-01-01T00:00:00,9.0,27.0,2017-02-15T06:36:06,3.0,167.0,66.0,18.0,5503572.0,580eb75cc0ef75157d99dec3,customer
22,75000.0,thursday,7.0,39.0,2017-02-28T10:52:00,2016-08-11T08:54:53,0.0,75000.0,indomaret,2016-09-28T12:13:17,75000.0,2017-02-25T05:02:44,19502.0,75000.0,9.0,0.0,0.0,1.0,100.0,10216008,1.0,1970-01-01T00:00:00,8.0,17.0,2016-11-14T16:58:05,10.0,48.0,341.0,9.0,75000.0,57ac3d5d8dbb1b490e8b4568,customer
23,83083.333333333,saturday,6.0,2.0,2017-03-02T03:15:38,2016-04-07T12:14:19,2.0,133000.0,payment_method_atm_transfer,2017-02-25T12:18:22,69000.0,2017-02-25T12:18:29,19509.0,30000.0,9.0,0.0,16.7,5.0,83.3,8047802,6.0,1970-01-01T00:00:00,9.0,20.0,2017-02-02T18:10:03,11.0,284.0,263.0,11.0,498500.0,57ada2817b6851cf068b4790,customer
24,139500.0,monday,5.0,3.0,2017-03-02T04:25:34,2016-08-23T05:10:07,0.0,139500.0,transfer bank,2017-03-06T05:35:59,139500.0,2017-03-06T06:01:46,19509.0,139500.0,9.0,0.0,0.0,2.0,100.0,5438768,2.0,1970-01-01T00:00:00,9.0,18.0,2016-11-21T10:09:22,5.0,195.0,214.0,9.0,224500.0,57bbdaaf8dbb1b17fe8b4568,customer
25,101500.0,sunday,9.0,4.0,2017-02-23T03:03:02,2016-09-14T10:27:11,0.0,139000.0,alfamart / alfamidi / lawson,2017-01-05T10:46:17,64000.0,2017-03-06T10:05:02,19504.0,64000.0,9.0,0.0,0.0,3.0,100.0,11847727,3.0,1970-01-01T00:00:00,9.0,18.0,2016-11-20T22:28:28,9.0,52.0,99.0,9.0,203000.0,57d925ff8dbb1bdb888b4572,customer
26,186620.5,monday,8.0,2.0,2017-03-02T03:21:15,2016-08-24T06:20:55,1.0,301997.0,indomaret,2017-01-09T09:21:17,301997.0,2017-03-06T14:38:31,19506.0,115995.0,9.0,0.0,0.0,10.0,100.0,5326892,10.0,1970-01-01T00:00:00,9.0,19.0,1970-01-01T00:00:00,2.0,103.0,130.0,10.0,950477.0,580c483276a5169dcb36960c,customer
27,80343.391304348,tuesday,2.0,9.0,2017-03-02T03:23:33,2016-11-18T10:57:54,9.0,405000.0,indomaret / ceriamart,2017-02-27T09:22:33,37000.0,2017-03-07T02:07:16,19509.0,24000.0,9.0,0.0,0.0,23.0,100.0,8795183,23.0,1970-01-01T00:00:00,9.0,27.0,2017-02-04T22:30:10,1.0,28.0,191.0,18.0,1847898.0,583fc6e7c3ffe70ead900c43,customer
28,165666.66666667,monday,9.0,5.0,2017-03-02T03:23:31,2016-09-03T15:21:07,3.0,301000.0,mandiri clickpay,2017-03-04T06:07:59,125000.0,2017-03-07T03:42:41,19509.0,25000.0,9.0,0.0,0.0,9.0,100.0,9842470,9.0,1970-01-01T00:00:00,9.0,21.0,2017-01-31T11:49:36,8.0,57.0,289.0,12.0,1491000.0,57caea638dbb1b6c488b4568,customer
29,74862.666666667,thursday,8.0,1.0,2017-02-20T08:14:59,2016-10-06T08:23:47,1.0,92792.0,transfer bank,2017-01-26T02:36:54,85000.0,2017-03-07T04:00:33,19503.0,46796.0,9.0,0.0,0.0,4.0,100.0,12752562,4.0,1970-01-01T00:00:00,9.0,19.0,2016-11-15T02:41:00,1.0,54.0,65.0,10.0,224588.0,57f60a138dbb1b7d928b4573,customer
30,1740000.0,thursday,3.0,1.0,2017-03-02T03:14:02,2016-10-02T16:34:03,0.0,1740000.0,cicilan kartu kredit,2017-01-09T12:12:33,1740000.0,2017-03-03T10:46:23,19500.0,1740000.0,9.0,0.0,0.0,1.0,100.0,9971209,1.0,1970-01-01T00:00:00,8.0,17.0,2017-02-03T10:45:58,1.0,98.0,45.0,9.0,1740000.0,57f136fb8dbb1baefc8b4567,customer
31,1297500.0,monday,13.0,1.0,2017-03-01T03:31:35,2016-10-25T05:13:17,0.0,2525000.0,cicilan kartu kredit,2017-01-09T13:30:42,2525000.0,2017-03-04T13:59:54,19503.0,70000.0,9.0,0.0,0.0,2.0,100.0,10993811,2.0,1970-01-01T00:00:00,9.0,18.0,1970-01-01T00:00:00,3.0,0.0,80.0,9.0,2595000.0,584ab8acc3ffe70eadea8f15,customer
32,173742.85714286,tuesday,7.0,10.0,2017-03-02T03:21:16,2016-08-26T05:27:08,5.0,1365000.0,klikbca,2017-02-21T07:59:05,60000.0,2017-03-06T11:39:23,19509.0,47500.0,9.0,0.0,0.0,15.0,100.0,11316144,15.0,1970-01-01T00:00:00,9.0,23.0,2016-11-14T22:13:51,1.0,62.0,289.0,14.0,2567400.0,57bfd32c8dbb1bdc378b458c,customer
33,1000000.0,monday,8.0,11.0,2017-02-26T05:01:16,2016-10-03T03:53:34,0.0,1150000.0,klikbca,2017-02-24T08:26:02,1150000.0,2017-03-06T07:27:29,19509.0,850000.0,9.0,0.0,0.0,2.0,100.0,12660767,2.0,1970-01-01T00:00:00,9.0,18.0,2016-11-20T06:53:29,1.0,71.0,282.0,9.0,2000000.0,57f1d63e8dbb1baf6f8b4572,customer
34,1210252.6666667,monday,17.0,1.0,2017-03-02T03:23:30,2017-01-14T16:14:26,1.0,1682758.0,transfer bank,2017-02-06T17:15:10,1670000.0,2017-03-05T08:08:11,19503.0,278000.0,9.0,0.0,0.0,3.0,100.0,15642401,3.0,1970-01-01T00:00:00,9.0,19.0,2017-02-07T14:24:05,2.0,0.0,28.0,10.0,3630758.0,587a4e67c3ffe70ead0757e2,customer
35,430000.0,wednesday,4.0,2.0,2017-03-06T04:46:41,2011-04-27T10:45:32,1.0,1100000.0,kartu kredit / debit,2017-02-01T08:16:03,70000.0,2017-02-16T12:24:10,19503.0,70000.0,9.0,0.0,0.0,3.0,100.0,159147,3.0,1970-01-01T00:00:00,8.0,18.0,2017-02-14T19:00:04,1.0,2050.0,41.0,10.0,1290000.0,57766d887b685175608b5590,customer
36,120000.0,wednesday,7.0,4.0,2017-02-28T10:52:00,2014-01-29T19:02:42,0.0,120000.0,transfer bank,2017-02-17T12:52:14,120000.0,2017-02-25T08:40:42,19499.0,120000.0,9.0,0.0,0.0,1.0,100.0,761174,1.0,1970-01-01T00:00:00,9.0,18.0,2016-11-21T08:43:53,1.0,1114.0,94.0,9.0,120000.0,57768b9b7b685146788b7936,customer
37,26428.571428571,thursday,9.0,3.0,2017-02-20T08:10:14,2016-10-06T07:20:09,2.0,95000.0,transfer bank,2017-01-10T21:54:29,30000.0,2017-02-10T08:05:51,19506.0,30000.0,9.0,0.0,0.0,8.0,100.0,11150099,8.0,1970-01-01T00:00:00,9.0,20.0,2016-11-17T05:41:00,6.0,96.0,151.0,11.0,185000.0,57f5fb298dbb1b9c488b457d,customer
38,303875.0,tuesday,11.0,2.0,2017-02-23T03:22:13,2016-12-06T18:33:31,1.0,699000.0,indomaret,2017-01-14T09:15:40,699000.0,2017-02-16T15:01:27,19506.0,55000.0,9.0,0.0,0.0,8.0,100.0,14539704,8.0,1970-01-01T00:00:00,9.0,19.0,1970-01-01T00:00:00,3.0,6.0,232.0,10.0,1445500.0,5847047bc3ffe70ead8e76bd,customer
39,229750.0,wednesday,13.0,1.0,2017-02-23T03:22:14,2015-07-26T07:29:33,0.0,280000.0,klikbca,2016-12-08T13:53:27,280000.0,2017-02-14T04:42:39,19504.0,179500.0,9.0,0.0,0.0,2.0,100.0,7769035,2.0,1970-01-01T00:00:00,9.0,18.0,2016-11-20T23:25:13,6.0,500.0,165.0,9.0,459500.0,57bec16a7b6851b5c18b4628,customer
40,128500.0,tuesday,20.0,2.0,2017-02-23T03:22:14,2016-12-05T13:52:06,1.0,323000.0,klikbca,2016-12-15T07:15:08,323000.0,2017-02-16T07:15:22,19507.0,58000.0,9.0,0.0,0.0,4.0,100.0,14503126,4.0,1970-01-01T00:00:00,9.0,19.0,1970-01-01T00:00:00,2.0,0.0,75.0,10.0,514000.0,58457106c3ffe70ead63b08b,customer
41,181750.0,sunday,9.0,1.0,2017-02-13T07:49:55,2017-01-05T08:48:20,1.0,256000.0,transfer bank,2017-01-15T11:15:48,215000.0,2017-02-09T07:09:17,19506.0,41000.0,9.0,0.0,0.0,9.0,100.0,15359611,9.0,1970-01-01T00:00:00,9.0,19.0,1970-01-01T00:00:00,4.0,7.0,20.0,10.0,727000.0,586e0856c3ffe70ead929124,customer
42,15500.0,tuesday,12.0,8.0,2017-02-28T13:12:00,2016-08-11T12:32:20,0.0,19000.0,klikbca,2016-12-19T06:04:35,12000.0,2017-02-15T06:51:38,19503.0,12000.0,9.0,0.0,0.0,2.0,100.0,11284270,2.0,1970-01-01T00:00:00,9.0,18.0,2016-11-21T09:03:10,12.0,118.0,175.0,9.0,31000.0,57ac70548dbb1bb93d8b4589,customer
43,60522.111111111,sunday,22.0,3.0,2017-02-28T13:12:02,2016-11-02T15:53:17,3.0,154600.0,transfer bank,2017-01-04T06:07:40,88800.0,2017-02-09T22:03:59,19506.0,23900.0,9.0,0.0,0.0,9.0,100.0,13550793,9.0,1970-01-01T00:00:00,9.0,21.0,2016-11-20T23:18:38,19.0,17.0,160.0,12.0,544699.0,581a0cc1c0ef75157d296499,customer
44,695000.0,sunday,6.0,6.0,2017-02-23T03:20:48,2016-08-14T04:59:05,0.0,695000.0,indomaret,2016-10-29T04:39:22,695000.0,2017-02-16T00:27:27,19502.0,695000.0,9.0,0.0,0.0,1.0,100.0,6053580,1.0,1970-01-01T00:00:00,9.0,18.0,2016-11-21T00:12:25,26.0,75.0,250.0,9.0,695000.0,57affa99d9876fbb8f8b7fe6,customer
45,31500.0,saturday,1.0,1.0,2017-02-23T03:22:13,2016-11-12T15:20:17,0.0,48000.0,indomaret / ceriamart,2017-02-10T07:23:08,48000.0,2017-02-14T06:30:36,19509.0,15000.0,9.0,0.0,0.0,2.0,100.0,13844663,2.0,1970-01-01T00:00:00,9.0,18.0,2016-11-21T06:40:09,3.0,5.0,78.0,9.0,63000.0,58273331c0ef75157d0139cb,customer
46,211000.0,saturday,14.0,1.0,2016-12-23T07:22:10,2015-08-07T23:31:22,0.0,211000.0,bni virtual account,2016-10-29T06:15:42,211000.0,2016-12-24T23:07:20,19503.0,211000.0,9.0,0.0,0.0,2.0,100.0,4536566,2.0,1970-01-01T00:00:00,9.0,18.0,2016-11-09T11:35:38,1.0,448.0,61.0,9.0,422000.0,5777928e7b685109788c1a70,customer
47,130000.0,friday,9.0,2.0,2017-03-01T03:31:32,2016-08-12T09:05:56,0.0,160000.0,kartu kredit / debit,2016-11-21T08:00:08,160000.0,2017-02-28T17:08:05,19505.0,100000.0,9.0,0.0,0.0,2.0,100.0,11057353,2.0,1970-01-01T00:00:00,9.0,18.0,2016-11-16T05:59:07,5.0,60.0,70.0,9.0,260000.0,57ad9174d9876f990b8b8bfe,customer
48,66624.75,tuesday,5.0,7.0,2017-03-01T03:31:39,2010-03-29T04:05:53,2.0,156000.0,transfer bank,2017-01-26T04:12:58,115000.0,2017-02-21T17:04:50,19506.0,20000.0,9.0,0.0,0.0,10.0,100.0,36136,10.0,1970-01-01T00:00:00,9.0,20.0,2016-11-21T07:23:21,4.0,2366.0,118.0,11.0,532998.0,577653027b68513f608b4967,customer
